"id","name","os","status","account","dept","division","owner","storage","cpu","memory"
"3347","sf-infranode429","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","69","2 Physical, 2 Logical","4095 (4096)"
"3348","sf-infranode430.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","57","4 physical, 4 logical","5848 (6144)"
"3349","sf-infranode431","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","159","2 Physical, 2 Logical","6143 (6144)"
"3351","oxton128.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","146","1 physical, 1 logical","3947 (4096)"
"3352","sf-ps-np011.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","7868 (8192)"
"3353","sf-infranode432","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","69","2 Physical, 2 Logical","2047 (2048)"
"3354","husky03.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","85","4 physical, 4 logical","7981 (8192)"
"3355","sf-ps-np012","Windows","Active","R704750","CIT","Information Systems","vm57","139","1 Physical, 1 Logical","2047 (2048)"
"3356","bmw089.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","126","2 physical, 2 logical","7868 (8192)"
"3357","ladyslipper2.serverfarm.cornell.edu","Linux","Active","R532503","CIT","Systems & Operations","ljc1","106","1 physical, 12 logical","15910 ()"
"3358","xwebhost001.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sml34","155","1 physical, 1 logical","3828 (4096)"
"3359","xwebhost002.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sml34","337","1 physical, 1 logical","3828 (4096)"
"3361","sf-lib-web-006.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","117","2 physical, 2 logical","1873 (2048)"
"3362","lib-discovr-04.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","106","2 physical, 2 logical","7868 (8192)"
"3363","lib-solr-007.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","337","2 physical, 2 logical","15947 (16384)"
"3364","lib-discovr-05.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","106","2 physical, 2 logical","7868 (8192)"
"3365","lib-discovr-06.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","106","2 physical, 2 logical","7868 (8192)"
"3366","lib-discovr-07.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","106","2 physical, 2 logical","7868 (8192)"
"3367","lib-solr-008.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","337","2 physical, 2 logical","11908 (12288)"
"3368","oxton129.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","146","1 physical, 1 logical","3828 (4096)"
"3369","bromgr.serverfarm.cornell.edu","Linux","Active","R504704","CIT","IT Security","wm63","6100","1 physical, 24 logical","23990 ()"
